date,total,local,remote
2025-09-08,1,0,1
2025-09-09,71,37,34
2025-09-10,130,68,61
2025-09-11,174,94,77
2025-09-12,218,128,87
2025-09-13,249,149,98
2025-09-14,274,163,110
2025-09-15,304,179,124
2025-09-16,335,193,140
2025-09-17,396,219,175
2025-09-18,447,243,200
2025-09-19,493,265,222
2025-09-20,539,290,244
2025-09-21,557,302,251
2025-09-22,577,313,259
2025-09-23,601,318,271
2025-09-24,624,336,277
2025-09-25,638,346,282
2025-09-26,666,369,289
2025-09-27,676,377,291
2025-09-28,700,397,294
2025-09-29,756,433,326
2025-09-30,792,456,340
2025-10-01,805,468,341
2025-10-02,862,499,364
2025-10-03,890,506,385
2025-10-04,923,522,395
2025-10-05,946,537,404
2025-10-06,997,565,427
2025-10-07,1038,578,456
2025-10-08,1072,593,475
2025-10-09,1090,608,478
2025-10-10,1112,628,481
2025-10-11,1126,642,481
2025-10-12,1146,660,483
2025-10-13,1167,679,484
2025-10-14,1182,689,489
2025-10-15,1221,719,497
2025-10-16,1238,729,503
2025-10-17,1251,737,509
2025-10-18,1255,740,510
2025-10-19,1262,745,511
2025-10-20,1276,757,513
2025-10-21,1289,769,514
2025-10-22,1310,785,519
2025-10-23,1324,794,522
2025-10-24,1343,805,533
2025-10-25,1362,822,538
2025-10-26,1375,830,544
2025-10-27,1396,843,552
2025-10-28,1427,865,561
